AÑO,PROVINCIA_DESTINO,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
2019,A Coruña,352491,3205772,9.0
2019,Albacete,82265,875339,11.0
2019,Alicante/Alacant,3252836,28418651,9.0
2019,Almería,485709,4454473,9.0
2019,Asturias,244548,2414849,10.0
2019,Badajoz,245897,2421382,10.0
2019,Barcelona,5875293,34742435,6.0
2019,Bizkaia,321987,2249651,7.0
2019,Burgos,260143,1500422,6.0
2019,Cantabria,231395,2026944,9.0
2019,Castellón/Castelló,395367,3515324,9.0
2019,Ceuta,181804,1170426,6.0
2019,Ciudad Real,81063,771300,10.0
2019,Cuenca,56727,540668,10.0
2019,Cáceres,144102,1196868,8.0
2019,Cádiz,1044057,7536553,7.0
2019,Córdoba,138530,1271404,9.0
2019,Gerona/Girona,2732049,18890908,7.0
2019,Granada,538176,4144751,8.0
2019,Guadalajara,105138,859428,8.0
2019,Guipúzcoa/Gipuzkoa,990442,5952594,6.0
2019,Huelva,313177,2527341,8.0
2019,Huesca,220497,1411593,6.0
2019,Islas Baleares/Illes Balears,7411528,49251319,7.0
2019,Jaén,93362,911823,10.0
2019,La Rioja,83407,761440,9.0
2019,Las Palmas,3384038,26114538,8.0
2019,León,116410,1151876,10.0
2019,Lleida,283816,2312502,8.0
2019,Lugo,81139,819605,10.0
2019,Madrid,3346517,23249479,7.0
2019,Melilla,185209,1315863,7.0
2019,Murcia,642747,6410612,10.0
2019,Málaga,3288341,25832033,8.0
2019,Navarra,430750,3161476,7.0
2019,Ourense,246166,2089471,8.0
2019,Palencia,94452,602539,6.0
2019,Pontevedra,485680,3940079,8.0
2019,Salamanca,309878,2336955,8.0
2019,Santa Cruz de Tenerife,2350265,18490380,8.0
2019,Segovia,70098,570400,8.0
2019,Sevilla,686633,4676452,7.0
2019,Soria,49145,393047,8.0
2019,Tarragona,1228586,9396305,8.0
2019,Teruel,55290,477380,9.0
2019,Toledo,159441,1331626,8.0
2019,Valencia/València,1182414,9480999,8.0
2019,Valladolid,147289,1204227,8.0
2019,Zamora,160221,1256111,8.0
2019,Zaragoza,272620,2446126,9.0
2019,Álava/Araba,188881,1387201,7.0
2019,Ávila,45585,424922,9.0
2020,A Coruña,272736,3570349,13.0
2020,Albacete,117473,1574580,13.0
2020,Alicante/Alacant,1894955,22468904,12.0
2020,Almería,424372,5416818,13.0
2020,Asturias,247435,3156607,13.0
2020,Badajoz,350541,4513707,13.0
2020,Barcelona,3577412,31887271,9.0
2020,Bizkaia,293898,3105566,11.0
2020,Burgos,298813,2330872,8.0
2020,Cantabria,203068,2333236,11.0
2020,Castellón/Castelló,361025,3988878,11.0
2020,Ceuta,141467,1191350,8.0
2020,Ciudad Real,108910,1433881,13.0
2020,Cuenca,81967,1046881,13.0
2020,Cáceres,181027,1987815,11.0
2020,Cádiz,977309,8613150,9.0
2020,Córdoba,147646,1982334,13.0
2020,Gerona/Girona,2014527,16979073,8.0
2020,Granada,413136,4450713,11.0
2020,Guadalajara,147419,1562965,11.0
2020,Guipúzcoa/Gipuzkoa,1029036,8919308,9.0
2020,Huelva,326094,3544851,11.0
2020,Huesca,228133,1747575,8.0
2020,Islas Baleares/Illes Balears,1845312,17518849,9.0
2020,Jaén,122878,1800410,15.0
2020,La Rioja,103088,1228040,12.0
2020,Las Palmas,2263829,19965838,9.0
2020,León,130858,1642394,13.0
2020,Lleida,383021,3732627,10.0
2020,Lugo,84289,1154568,14.0
2020,Madrid,2667842,29007504,11.0
2020,Melilla,146585,1460142,10.0
2020,Murcia,628099,8494840,14.0
2020,Málaga,1676696,18010687,11.0
2020,Navarra,524254,4859155,9.0
2020,Ourense,291211,2985365,10.0
2020,Palencia,108121,938527,9.0
2020,Pontevedra,498244,5434459,11.0
2020,Salamanca,336894,3461432,10.0
2020,Santa Cruz de Tenerife,1626173,15600551,10.0
2020,Segovia,76122,892818,12.0
2020,Sevilla,525742,5652931,11.0
2020,Soria,75256,682716,9.0
2020,Tarragona,613832,6110140,10.0
2020,Teruel,65700,695180,11.0
2020,Toledo,184617,2280634,12.0
2020,Valencia/València,1088741,12376452,11.0
2020,Valladolid,191908,2070693,11.0
2020,Zamora,196155,1865984,10.0
2020,Zaragoza,371251,3966167,11.0
2020,Álava/Araba,251865,2443366,10.0
2020,Ávila,48142,590294,12.0
2021,A Coruña,362460,3432558,9.0
2021,Albacete,124118,1199868,10.0
2021,Alicante/Alacant,2447530,23368626,10.0
2021,Almería,449680,4421748,10.0
2021,Asturias,294904,2746599,9.0
2021,Badajoz,376184,3425610,9.0
2021,Barcelona,4284635,30391786,7.0
2021,Bizkaia,338094,2603250,8.0
2021,Burgos,388487,2403521,6.0
2021,Cantabria,252093,2186322,9.0
2021,Castellón/Castelló,414835,3617631,9.0
2021,Ceuta,91096,522965,6.0
2021,Ciudad Real,122952,1142606,9.0
2021,Cuenca,95362,860453,9.0
2021,Cáceres,215604,1763552,8.0
2021,Cádiz,1016420,7781877,8.0
2021,Córdoba,163216,1581189,10.0
