AÑO,MES,PROVINCIA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
2019,07,A Coruña,América,Total América,7226,54243,7.5
2019,07,A Coruña,Asia,Total Asia,2138,11026,5.2
2019,07,A Coruña,Europa,Total Europa,53048,376180,7.1
2019,07,A Coruña,Oceanía,Total Oceanía,308,2281,7.4
2019,07,A Coruña,África,Total África,345,2153,6.2
2019,07,Albacete,América,Total América,589,4704,8.0
2019,07,Albacete,Asia,Total Asia,480,2135,4.4
2019,07,Albacete,Europa,Total Europa,11069,74571,6.7
2019,07,Albacete,África,Total África,450,2889,6.4
2019,07,Alicante/Alacant,América,Total América,9242,72123,7.8
2019,07,Alicante/Alacant,Asia,Total Asia,4624,28962,6.3
2019,07,Alicante/Alacant,Europa,Total Europa,673409,5171795,7.7
2019,07,Alicante/Alacant,Oceanía,Total Oceanía,506,3563,7.0
2019,07,Alicante/Alacant,África,Total África,12519,70984,5.7
2019,07,Almería,América,Total América,1767,13119,7.4
2019,07,Almería,Asia,Total Asia,1615,4784,3.0
2019,07,Almería,Europa,Total Europa,90235,631630,7.0
2019,07,Almería,Oceanía,Total Oceanía,95,622,6.5
2019,07,Almería,África,Total África,5733,25424,4.4
2019,07,Álava/Araba,América,Total América,1117,7633,6.8
2019,07,Álava/Araba,Asia,Total Asia,585,2831,4.8
2019,07,Álava/Araba,Europa,Total Europa,30871,140349,4.5
2019,07,Álava/Araba,Oceanía,Total Oceanía,36,230,6.4
2019,07,Álava/Araba,África,Total África,878,4868,5.5
2019,07,Asturias,América,Total América,3849,31789,8.3
2019,07,Asturias,Asia,Total Asia,1312,6169,4.7
2019,07,Asturias,Europa,Total Europa,39919,281869,7.1
2019,07,Asturias,Oceanía,Total Oceanía,114,878,7.7
2019,07,Asturias,África,Total África,333,2303,6.9
2019,07,Badajoz,América,Total América,1156,7621,6.6
2019,07,Badajoz,Asia,Total Asia,1464,8301,5.7
2019,07,Badajoz,Europa,Total Europa,34329,207596,6.0
2019,07,Badajoz,Oceanía,Total Oceanía,54,465,8.6
2019,07,Badajoz,África,Total África,596,2381,4.0
2019,07,Barcelona,América,Total América,163148,804087,4.9
2019,07,Barcelona,Asia,Total Asia,73876,330974,4.5
2019,07,Barcelona,Europa,Total Europa,890696,4595203,5.2
2019,07,Barcelona,Oceanía,Total Oceanía,9307,44069,4.7
2019,07,Barcelona,África,Total África,21501,107787,5.0
2019,07,Bizkaia,América,Total América,4725,32214,6.8
2019,07,Bizkaia,Asia,Total Asia,2279,9888,4.3
2019,07,Bizkaia,Europa,Total Europa,48899,255208,5.2
2019,07,Bizkaia,Oceanía,Total Oceanía,227,1306,5.8
2019,07,Bizkaia,África,Total África,762,5102,6.7
2019,07,Burgos,América,Total América,1357,9974,7.4
2019,07,Burgos,Asia,Total Asia,557,2847,5.1
2019,07,Burgos,Europa,Total Europa,51853,184663,3.6
2019,07,Burgos,Oceanía,Total Oceanía,48,301,6.3
2019,07,Burgos,África,Total África,950,2779,2.9
2019,07,Cantabria,América,Total América,2823,21776,7.7
2019,07,Cantabria,Asia,Total Asia,701,3627,5.2
2019,07,Cantabria,Europa,Total Europa,44089,273112,6.2
2019,07,Cantabria,Oceanía,Total Oceanía,96,644,6.7
2019,07,Cantabria,África,Total África,256,1534,6.0
2019,07,Castellón/Castelló,América,Total América,1936,12733,6.6
2019,07,Castellón/Castelló,Asia,Total Asia,1427,7254,5.1
2019,07,Castellón/Castelló,Europa,Total Europa,77800,536982,6.9
2019,07,Castellón/Castelló,Oceanía,Total Oceanía,78,530,6.8
2019,07,Castellón/Castelló,África,Total África,1953,10987,5.6
2019,07,Ceuta,América,Total América,613,1699,2.8
2019,07,Ceuta,Asia,Total Asia,1390,2805,2.0
2019,07,Ceuta,Europa,Total Europa,5486,21855,4.0
2019,07,Ceuta,África,Total África,20562,102652,5.0
2019,07,Ciudad Real,América,Total América,631,4435,7.0
2019,07,Ciudad Real,Asia,Total Asia,347,1909,5.5
2019,07,Ciudad Real,Europa,Total Europa,11392,64678,5.7
2019,07,Ciudad Real,África,Total África,716,2495,3.5
2019,07,Cuenca,América,Total América,718,4546,6.3
2019,07,Cuenca,Asia,Total Asia,260,1405,5.4
2019,07,Cuenca,Europa,Total Europa,7219,45962,6.4
2019,07,Cuenca,África,Total África,278,2054,7.4
2019,07,Cáceres,América,Total América,812,5458,6.7
2019,07,Cáceres,Asia,Total Asia,323,1587,4.9
2019,07,Cáceres,Europa,Total Europa,20613,108045,5.2
2019,07,Cáceres,Oceanía,Total Oceanía,35,235,6.7
2019,07,Cáceres,África,Total África,559,2328,4.2
2019,07,Cádiz,América,Total América,23839,124672,5.2
2019,07,Cádiz,Asia,Total Asia,6896,25440,3.7
2019,07,Cádiz,Europa,Total Europa,130681,851608,6.5
2019,07,Cádiz,Oceanía,Total Oceanía,452,3156,7.0
2019,07,Cádiz,África,Total África,21268,87419,4.1
2019,07,Córdoba,América,Total América,1531,10289,6.7
2019,07,Córdoba,Asia,Total Asia,1118,5161,4.6
2019,07,Córdoba,Europa,Total Europa,17051,124151,7.3
2019,07,Córdoba,Oceanía,Total Oceanía,76,586,7.7
2019,07,Córdoba,África,Total África,580,2949,5.1
2019,07,Guipúzcoa/Gipuzkoa,América,Total América,12405,75127,6.1
2019,07,Guipúzcoa/Gipuzkoa,Asia,Total Asia,2945,13468,4.6
2019,07,Guipúzcoa/Gipuzkoa,Europa,Total Europa,184398,733364,4.0
2019,07,Guipúzcoa/Gipuzkoa,Oceanía,Total Oceanía,1511,8447,5.6
2019,07,Guipúzcoa/Gipuzkoa,África,Total África,1881,7471,4.0
2019,07,Gerona/Girona,América,Total América,11946,71136,6.0
2019,07,Gerona/Girona,Asia,Total Asia,6291,35892,5.7
2019,07,Gerona/Girona,Europa,Total Europa,671067,4166653,6.2
2019,07,Gerona/Girona,Oceanía,Total Oceanía,1086,7066,6.5
2019,07,Gerona/Girona,África,Total África,4306,20577,4.8
2019,07,Granada,América,Total América,6331,42102,6.7
2019,07,Granada,Asia,Total Asia,4579,21256,4.6
2019,07,Granada,Europa,Total Europa,78718,532674,6.8
2019,07,Granada,Oceanía,Total Oceanía,418,2658,6.4
2019,07,Granada,África,Total África,4898,19157,3.9
2019,07,Guadalajara,América,Total América,1159,6868,5.9
2019,07,Guadalajara,Asia,Total Asia,429,1792,4.2
2019,07,Guadalajara,Europa,Total Europa,13729,78308,5.7
2019,07,Guadalajara,África,Total África,488,3346,6.9
2019,07,Huelva,América,Total América,1658,11249,6.8
2019,07,Huelva,Asia,Total Asia,925,5307,5.7
2019,07,Huelva,Europa,Total Europa,50139,305575,6.1
2019,07,Huelva,Oceanía,Total Oceanía,104,801,7.7
2019,07,Huelva,África,Total África,2429,16709,6.9
2019,07,Huesca,América,Total América,1763,11775,6.7
2019,07,Huesca,Asia,Total Asia,621,2987,4.8
2019,07,Huesca,Europa,Total Europa,45984,234764,5.1
2019,07,Huesca,Oceanía,Total Oceanía,104,693,6.7
2019,07,Huesca,África,Total África,507,3512,6.9
2019,07,Islas Baleares/Illes Balears,América,Total América,49409,280475,5.7
2019,07,Islas Baleares/Illes Balears,Asia,Total Asia,15623,76131,4.9
2019,07,Islas Baleares/Illes Balears,Europa,Total Europa,1847942,11355632,6.1
2019,07,Islas Baleares/Illes Balears,Oceanía,Total Oceanía,4006,22205,5.5
2019,07,Islas Baleares/Illes Balears,África,Total África,6865,30888,4.5
2019,07,Jaén,América,Total América,610,4805,7.9
2019,07,Jaén,Asia,Total Asia,223,1291,5.8
2019,07,Jaén,Europa,Total Europa,13736,83103,6.1
2019,07,Jaén,África,Total África,804,3165,3.9
2019,07,La Rioja,América,Total América,1079,7485,6.9
2019,07,La Rioja,Asia,Total Asia,422,2138,5.1
2019,07,La Rioja,Europa,Total Europa,11365,67959,6.0
2019,07,La Rioja,Oceanía,Total Oceanía,45,273,6.1
2019,07,La Rioja,África,Total África,432,3337,7.7
2019,07,Las Palmas,América,Total América,4056,27191,6.7
2019,07,Las Palmas,Asia,Total Asia,3110,14450,4.6
2019,07,Las Palmas,Europa,Total Europa,510631,3772767,7.4
2019,07,Las Palmas,Oceanía,Total Oceanía,156,1013,6.5
2019,07,Las Palmas,África,Total África,3398,18929,5.6
2019,07,León,América,Total América,1320,11444,8.7
2019,07,León,Asia,Total Asia,413,2876,7.0
2019,07,León,Europa,Total Europa,17415,114838,6.6
2019,07,León,Oceanía,Total Oceanía,51,358,7.0
2019,07,León,África,Total África,224,1654,7.4
2019,07,Lleida,América,Total América,1657,10994,6.6
2019,07,Lleida,Asia,Total Asia,1316,7919,6.0
2019,07,Lleida,Europa,Total Europa,46396,256539,5.5
2019,07,Lleida,Oceanía,Total Oceanía,133,801,6.0
2019,07,Lleida,África,Total África,1275,9407,7.4
2019,07,Lugo,América,Total América,1189,8784,7.4
2019,07,Lugo,Asia,Total Asia,374,2078,5.6
2019,07,Lugo,Europa,Total Europa,12648,88177,7.0
2019,07,Lugo,Oceanía,Total Oceanía,84,704,8.4
2019,07,Lugo,África,Total África,157,1072,6.8
2019,07,Madrid,América,Total América,146057,777957,5.3
2019,07,Madrid,Asia,Total Asia,46301,241578,5.2
2019,07,Madrid,Europa,Total Europa,340158,2012477,5.9
2019,07,Madrid,Oceanía,Total Oceanía,2564,14735,5.7
2019,07,Madrid,África,Total África,12019,63724,5.3
2019,07,Melilla,América,Total América,114,783,6.9
2019,07,Melilla,Asia,Total Asia,129,674,5.2
2019,07,Melilla,Europa,Total Europa,5957,22434,3.8
2019,07,Melilla,África,Total África,23013,115121,5.0
2019,07,Murcia,América,Total América,3258,21571,6.6
2019,07,Murcia,Asia,Total Asia,1934,10600,5.5
2019,07,Murcia,Europa,Total Europa,105580,806932,7.6
2019,07,Murcia,Oceanía,Total Oceanía,231,1269,5.5
2019,07,Murcia,África,Total África,6245,42357,6.8
2019,07,Málaga,América,Total América,19564,135745,6.9
2019,07,Málaga,Asia,Total Asia,15250,92395,6.1
2019,07,Málaga,Europa,Total Europa,648571,4700142,7.2
2019,07,Málaga,Oceanía,Total Oceanía,1004,6984,7.0
2019,07,Málaga,África,Total África,25157,140092,5.6
2019,07,Navarra,América,Total América,4773,30347,6.4
2019,07,Navarra,Asia,Total Asia,860,5197,6.0
2019,07,Navarra,Europa,Total Europa,83134,370831,4.5
2019,07,Navarra,Oceanía,Total Oceanía,260,1469,5.7
2019,07,Navarra,África,Total África,943,6448,6.8
2019,07,Ourense,América,Total América,1723,12715,7.4
2019,07,Ourense,Asia,Total Asia,234,2030,8.7
2019,07,Ourense,Europa,Total Europa,32446,171953,5.3
2019,07,Ourense,Oceanía,Total Oceanía,39,274,7.0
2019,07,Ourense,África,Total África,114,708,6.2
2019,07,Palencia,América,Total América,419,3371,8.0
2019,07,Palencia,Asia,Total Asia,225,1276,5.7
2019,07,Palencia,Europa,Total Europa,16762,69614,4.2
2019,07,Palencia,África,Total África,236,860,3.6
2019,07,Pontevedra,América,Total América,5213,38465,7.4
2019,07,Pontevedra,Asia,Total Asia,990,5480,5.5
2019,07,Pontevedra,Europa,Total Europa,71518,415664,5.8
2019,07,Pontevedra,Oceanía,Total Oceanía,153,1287,8.4
2019,07,Pontevedra,África,Total África,414,2675,6.5
2019,07,Salamanca,América,Total América,3427,28071,8.2
2019,07,Salamanca,Asia,Total Asia,1092,6152,5.6
2019,07,Salamanca,Europa,Total Europa,45521,216298,4.8
2019,07,Salamanca,Oceanía,Total Oceanía,241,1670,6.9
2019,07,Salamanca,África,Total África,521,1627,3.1
2019,07,Santa Cruz de Tenerife,América,Total América,3384,25645,7.6
2019,07,Santa Cruz de Tenerife,Asia,Total Asia,2228,12966,5.8
2019,07,Santa Cruz de Tenerife,Europa,Total Europa,354838,2621133,7.4
2019,07,Santa Cruz de Tenerife,Oceanía,Total Oceanía,135,891,6.6
2019,07,Santa Cruz de Tenerife,África,Total África,804,5403,6.7
2019,07,Segovia,América,Total América,1322,7900,6.0
2019,07,Segovia,Asia,Total Asia,403,2026,5.0
2019,07,Segovia,Europa,Total Europa,9706,52998,5.5
2019,07,Segovia,Oceanía,Total Oceanía,34,187,5.5
2019,07,Segovia,África,Total África,401,1596,4.0
2019,07,Sevilla,América,Total América,11476,73851,6.4
2019,07,Sevilla,Asia,Total Asia,6037,32158,5.3
2019,07,Sevilla,Europa,Total Europa,81723,477032,5.8
2019,07,Sevilla,Oceanía,Total Oceanía,727,4515,6.2
2019,07,Sevilla,África,Total África,4057,17637,4.3
2019,07,Soria,América,Total América,461,3077,6.7
2019,07,Soria,Asia,Total Asia,159,837,5.3
2019,07,Soria,Europa,Total Europa,7109,36320,5.1
2019,07,Soria,África,Total África,130,817,6.3
2019,07,Tarragona,América,Total América,4513,32460,7.2
2019,07,Tarragona,Asia,Total Asia,2334,14095,6.0
2019,07,Tarragona,Europa,Total Europa,295880,2024974,6.8
2019,07,Tarragona,Oceanía,Total Oceanía,199,1349,6.8
2019,07,Tarragona,África,Total África,2866,16827,5.9
2019,07,Teruel,América,Total América,430,2834,6.6
2019,07,Teruel,Asia,Total Asia,234,1062,4.5
2019,07,Teruel,Europa,Total Europa,7740,45520,5.9
2019,07,Teruel,África,Total África,241,1716,7.1
2019,07,Toledo,América,Total América,2983,18244,6.1
2019,07,Toledo,Asia,Total Asia,1092,5791,5.3
2019,07,Toledo,Europa,Total Europa,20053,114670,5.7
2019,07,Toledo,Oceanía,Total Oceanía,54,271,5.0
2019,07,Toledo,África,Total África,1085,5691,5.2
2019,07,Valencia/València,América,Total América,12532,88839,7.1
2019,07,Valencia/València,Asia,Total Asia,7394,39133,5.3
2019,07,Valencia/València,Europa,Total Europa,189393,1239603,6.5
2019,07,Valencia/València,Oceanía,Total Oceanía,481,2928,6.1
2019,07,Valencia/València,África,Total África,4711,26697,5.7
2019,07,Valladolid,América,Total América,1150,9293,8.1
2019,07,Valladolid,Asia,Total Asia,657,3156,4.8
2019,07,Valladolid,Europa,Total Europa,23875,121022,5.1
2019,07,Valladolid,Oceanía,Total Oceanía,33,273,8.3
2019,07,Valladolid,África,Total África,553,2669,4.8
2019,07,Zamora,América,Total América,506,3388,6.7
2019,07,Zamora,Asia,Total Asia,139,835,6.0
2019,07,Zamora,Europa,Total Europa,22879,109954,4.8
2019,07,Zamora,África,Total África,118,500,4.2
2019,07,Zaragoza,América,Total América,2499,18948,7.6
2019,07,Zaragoza,Asia,Total Asia,1588,8046,5.1
2019,07,Zaragoza,Europa,Total Europa,38717,244695,6.3
2019,07,Zaragoza,Oceanía,Total Oceanía,60,350,5.8
2019,07,Zaragoza,África,Total África,1114,8909,8.0
