FECHA,PROVINCIA_DESTINO,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
2019/07,A Coruña,63065,445883,7.0
2019/07,Albacete,12588,84299,7.0
2019/07,Alicante/Alacant,700300,5347427,8.0
2019/07,Almería,99445,675579,7.0
2019/07,Asturias,45527,323008,7.0
2019/07,Badajoz,37599,226364,6.0
2019/07,Barcelona,1158528,5882120,5.0
2019/07,Bizkaia,56892,303718,5.0
2019/07,Burgos,54765,200564,4.0
2019/07,Cantabria,47965,300693,6.0
2019/07,Castellón/Castelló,83194,568486,7.0
2019/07,Ceuta,28051,129011,5.0
2019/07,Ciudad Real,13086,73517,6.0
2019/07,Cuenca,8475,53967,6.0
2019/07,Cáceres,22342,117653,5.0
2019/07,Cádiz,183136,1092295,6.0
2019/07,Córdoba,20356,143136,7.0
2019/07,Gerona/Girona,694696,4301324,6.0
2019/07,Granada,94944,617847,7.0
2019/07,Guadalajara,15805,90314,6.0
2019/07,Guipúzcoa/Gipuzkoa,203140,837877,4.0
2019/07,Huelva,55255,339641,6.0
2019/07,Huesca,48979,253731,5.0
2019/07,Islas Baleares/Illes Balears,1923845,11765331,6.0
2019/07,Jaén,15373,92364,6.0
2019/07,La Rioja,13343,81192,6.0
2019/07,Las Palmas,521351,3834350,7.0
2019/07,León,19423,131170,7.0
2019/07,Lleida,50777,285660,6.0
2019/07,Lugo,14452,100815,7.0
2019/07,Madrid,547099,3110471,6.0
2019/07,Melilla,29213,139012,5.0
2019/07,Murcia,117248,882729,8.0
2019/07,Málaga,709546,5075358,7.0
2019/07,Navarra,89970,414292,5.0
2019/07,Ourense,34556,187680,5.0
2019/07,Palencia,17642,75121,4.0
2019/07,Pontevedra,78288,463571,6.0
2019/07,Salamanca,50802,253818,5.0
2019/07,Santa Cruz de Tenerife,361389,2666038,7.0
2019/07,Segovia,11866,64707,5.0
2019/07,Sevilla,104020,605193,6.0
2019/07,Soria,7859,41051,5.0
2019/07,Tarragona,305792,2089705,7.0
2019/07,Teruel,8645,51132,6.0
2019/07,Toledo,25267,144667,6.0
2019/07,Valencia/València,214511,1397200,7.0
2019/07,Valladolid,26268,136413,5.0
2019/07,Zamora,23642,114677,5.0
2019/07,Zaragoza,43978,280948,6.0
2019/07,Álava/Araba,33487,155911,5.0
2019/07,Ávila,7475,49680,7.0
2019/08,A Coruña,93302,922445,10.0
2019/08,Albacete,17871,214112,12.0
2019/08,Alicante/Alacant,807760,7831831,10.0
2019/08,Almería,119958,1150514,10.0
2019/08,Asturias,70023,733840,10.0
2019/08,Badajoz,59546,590638,10.0
2019/08,Barcelona,1192463,7740278,6.0
2019/08,Bizkaia,70648,530612,8.0
2019/08,Burgos,79350,372300,5.0
2019/08,Cantabria,70226,650809,9.0
2019/08,Castellón/Castelló,118890,1134684,10.0
2019/08,Ceuta,44356,200686,5.0
2019/08,Ciudad Real,18317,177902,10.0
2019/08,Cuenca,12408,131560,11.0
2019/08,Cáceres,40893,344127,8.0
2019/08,Cádiz,241882,1802184,7.0
2019/08,Córdoba,27431,293581,11.0
2019/08,Gerona/Girona,878656,6702887,8.0
2019/08,Granada,119992,986425,8.0
2019/08,Guadalajara,19442,190664,10.0
2019/08,Guipúzcoa/Gipuzkoa,303570,1502375,5.0
2019/08,Huelva,85315,693204,8.0
2019/08,Huesca,72546,470468,6.0
2019/08,Islas Baleares/Illes Balears,2096667,15041799,7.0
2019/08,Jaén,22110,212326,10.0
2019/08,La Rioja,16562,174850,11.0
2019/08,Las Palmas,573084,4898758,9.0
2019/08,León,35357,346922,10.0
2019/08,Lleida,63925,565356,9.0
2019/08,Lugo,21073,233667,11.0
2019/08,Madrid,491196,3987432,8.0
2019/08,Melilla,46288,259349,6.0
2019/08,Murcia,154673,1622896,10.0
2019/08,Málaga,784675,6846285,9.0
2019/08,Navarra,99934,724827,7.0
2019/08,Ourense,90389,706097,8.0
2019/08,Palencia,30191,157394,5.0
2019/08,Pontevedra,149804,1255892,8.0
2019/08,Salamanca,92853,612072,7.0
2019/08,Santa Cruz de Tenerife,385801,3418753,9.0
2019/08,Segovia,14545,136682,9.0
2019/08,Sevilla,118454,889855,8.0
2019/08,Soria,10021,94974,9.0
2019/08,Tarragona,392129,3252973,8.0
2019/08,Teruel,11585,121194,10.0
2019/08,Toledo,32595,300578,9.0
2019/08,Valencia/València,255557,2402986,9.0
2019/08,Valladolid,36087,274972,8.0
2019/08,Zamora,54148,376043,7.0
2019/08,Zaragoza,51119,519279,10.0
2019/08,Álava/Araba,51012,289595,6.0
2019/08,Ávila,12206,131953,11.0
2019/09,A Coruña,70063,581069,8.0
2019/09,Albacete,13742,123807,9.0
2019/09,Alicante/Alacant,612038,4923085,8.0
2019/09,Almería,89301,754887,8.0
2019/09,Asturias,44778,409973,9.0
2019/09,Badajoz,34450,274100,8.0
2019/09,Barcelona,1063004,5895621,6.0
2019/09,Bizkaia,60453,374228,6.0
2019/09,Burgos,35885,219509,6.0
2019/09,Cantabria,41769,332863,8.0
2019/09,Castellón/Castelló,60099,506276,8.0
2019/09,Ceuta,27241,143510,5.0
2019/09,Ciudad Real,13268,110434,8.0
2019/09,Cuenca,9730,77536,8.0
2019/09,Cáceres,20646,156840,8.0
2019/09,Cádiz,192972,1329478,7.0
2019/09,Córdoba,23899,189614,8.0
2019/09,Gerona/Girona,475686,2983026,6.0
2019/09,Granada,96985,696229,7.0
2019/09,Guadalajara,19166,129554,7.0
2019/09,Guipúzcoa/Gipuzkoa,143628,842979,6.0
2019/09,Huelva,58647,436628,7.0
2019/09,Huesca,38241,221240,6.0
2019/09,Islas Baleares/Illes Balears,1772719,11344411,6.0
